STOCKNO,INVOICEDAT,BRANCHNO,Make,Model,SALETYPE,SALEPRICE,COSTPRICE,METALPROFIT,Mileage,Make_new,Model_new
5,2021-05-21,1,ford,Ford Transit Variants,New Retail,33165.0,28857.75,4307.25,,ford,Ford Transit Variants
8,2021-06-28,1,ford,Ford Focus Variants,Used Sale BFC VAT Q,13332.5,10833.33,2499.17,12959.0,ford,Ford Focus Variants
10,2021-06-03,1,ford,ecosport,Used Sale BFC Margin,12299.0,11050.0,1040.8333333,21837.0,ford,ecosport
12,2021-07-07,6,ford,Ford Fiesta Variants,Used Sale BFC Margin,14299.0,13000.0,1082.5,14842.0,ford,Ford Fiesta Variants
16,2021-05-14,1,ford,Ford Focus Variants,Used Sale BFC Margin,13710.0,13150.0,466.6666666,16250.0,ford,Ford Focus Variants
19,2021-05-31,1,ford,Ford Focus Variants,Used Sale BFC Margin,10699.0,8750.0,1624.1666666,35266.0,ford,Ford Focus Variants
23,2021-06-15,1,ford,Ford Focus Variants,Used Sale BFC Margin,10055.0,9600.0,379.1666666,18000.0,ford,Ford Focus Variants
27,2021-05-22,1,ford,Ford Transit Variants,New Retail,33165.0,29268.11,3896.89,,ford,Ford Transit Variants
28,2021-05-25,1,ford,Ford Focus Variants,Used Sale BFC VAT Q,11770.0,11041.67,728.33,6968.0,ford,Ford Focus Variants
29,2021-05-18,4,ford,Ford Kuga Variants,Used Sale BFC VAT Q,14165.8333,12208.63,1957.2033,11570.0,ford,Ford Kuga Variants
30,2021-05-28,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,16998.3333,15721.0,1277.3333,36485.0,ford,Ford Transit Variants
34,2021-05-13,1,ford,Ford Transit Variants,Used Sale BFC VAT Q,13999.0,12849.0,1150.0,23879.0,ford,Ford Transit Variants
35,2021-06-09,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,18495.0,17900.0,595.0,26915.0,ford,Ford Transit Variants
37,2021-05-07,1,ford,Ford Transit Variants,Used Sale BFC CV VAT Q,17799.0,16800.0,999.0,18098.0,ford,Ford Transit Variants
